Frame,Visibility,X,Y
138,1,960,540
139,1,960,540
140,1,960,540
141,1,960,540
142,1,960,540
143,1,960,540
144,1,960,540
145,1,960,540
146,1,960,540
147,1,960,540
148,1,960,540
149,1,960,540
150,1,960,540
151,1,960,540
152,1,960,540
153,1,960,540
154,1,960,540
155,1,960,540
156,1,960,540
157,1,960,540
158,1,960,540
159,1,960,540
160,1,960,540
161,1,960,540
162,1,960,540
163,1,960,540
164,1,960,540
165,1,960,540
166,1,960,540
167,1,960,540
168,1,960,540
169,1,960,540
170,1,960,540
171,1,960,540
172,1,960,540
173,1,960,540
174,1,960,540
175,1,960,540
176,1,960,540
177,1,960,540
178,1,960,540
179,1,960,540
180,1,960,540
181,1,960,540
182,1,960,540
183,1,960,540
184,1,960,540
185,1,960,540
186,1,960,540
187,1,960,540
188,1,960,540
189,1,960,540
190,1,960,540
191,1,960,540
192,1,960,540
193,1,960,540
194,1,960,540
195,1,960,540
196,1,960,540
197,1,960,540
198,1,960,540
199,1,960,540
200,1,960,540
201,1,960,540
202,1,960,540
203,1,960,540
204,1,960,540
205,1,960,540
206,1,960,540
207,1,960,540
208,1,960,540
209,1,960,540
210,1,960,540
211,1,960,540
212,1,960,540
213,1,960,540
214,1,960,540
215,1,960,540
216,1,960,540
217,1,960,540
218,1,960,540
219,1,960,540
220,1,960,540
221,1,960,540
222,1,960,540
223,1,960,540
224,1,960,540
225,1,960,540
226,1,960,540
227,1,960,540
228,1,960,540
229,1,960,540
230,1,960,540
231,1,960,540
232,1,960,540
233,1,960,540
234,1,960,540
235,1,960,540
236,1,960,540
237,1,960,540
238,1,960,540
239,1,960,540
240,1,960,540
241,1,960,540
242,1,960,540
243,1,960,540
244,1,960,540
245,1,960,540
246,1,960,540
247,1,960,540
248,1,960,540
249,1,960,540
250,1,960,540
251,1,960,540
252,1,960,540
253,1,960,540
254,1,960,540
255,1,960,540
256,1,960,540
257,1,960,540
258,1,960,540
259,1,960,540
260,1,960,540
261,1,960,540
262,1,960,540
263,1,960,540
264,1,960,540
265,1,960,540
266,1,960,540
267,1,960,540
268,1,960,540
269,1,960,540
270,1,960,540
271,1,960,540
272,1,960,540
273,1,960,540
274,1,960,540
275,1,960,540
276,1,960,540
277,1,960,540
278,1,960,540
279,1,960,540
280,1,960,540
281,1,960,540
282,1,960,540
283,1,960,540
284,1,960,540
285,1,960,540
286,1,960,540
287,1,960,540
288,1,960,540
289,1,960,540
290,1,960,540
291,1,960,540
292,1,960,540
293,1,960,540
294,1,960,540
295,1,960,540
296,1,960,540
297,1,960,540
298,1,960,540
299,1,960,540
300,1,960,540
301,1,960,540
302,1,960,540
303,1,960,540
304,1,960,540
305,1,960,540
306,1,960,540
307,1,960,540
308,1,960,540
309,1,960,540
310,1,960,540
311,1,960,540
312,1,960,540
313,1,960,540
314,1,960,540
315,1,960,540
316,1,960,540
317,1,960,540
318,1,960,540
319,1,960,540
320,1,960,540
321,1,960,540
322,1,960,540
323,1,960,540
324,1,960,540
325,1,960,540
326,1,960,540
327,1,960,540
328,1,960,540
329,1,960,540
330,1,960,540
331,1,960,540
332,1,960,540
333,1,960,540
334,1,960,540
335,1,960,540
336,1,960,540
337,1,960,540
338,1,960,540
339,1,960,540
340,1,960,540
341,1,960,540
342,1,960,540
343,1,960,540
344,1,960,540
345,1,960,540
346,1,960,540
347,1,960,540
348,1,960,540
349,1,960,540
350,1,960,540
351,1,960,540
352,1,960,540
353,1,960,540
354,1,960,540
355,1,960,540
356,1,960,540
357,1,960,540
358,1,960,540
359,1,960,540
360,1,960,540
361,1,960,540
362,1,960,540
363,1,960,540
364,1,960,540
365,1,960,540
366,1,960,540
367,1,960,540
368,1,960,540
369,1,960,540
370,1,960,540
371,1,960,540
372,1,960,540
373,1,960,540
374,1,960,540
375,1,960,540
376,1,960,540
377,1,960,540
378,1,960,540
379,1,960,540
380,1,960,540
381,1,960,540
382,1,960,540
383,1,960,540
384,1,960,540
385,1,960,540
386,1,960,540
387,1,960,540
388,1,960,540
389,1,960,540
390,1,960,540
391,1,960,540
392,1,960,540
393,1,960,540
394,1,960,540
395,1,960,540
396,1,960,540
397,1,960,540
